date,date_ran,price,price_num,query_id,title,type,url
Dec 27,2014/01/02,$275,275.0,0,"nice in confortable set couch $$ 275,00",furniture - by owner,boston.craigslist.org/gbs/fuo/4261735619.html
Dec 27,2014/01/02,$350,350.0,0,micro-fiber couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4255667071.html
Dec 28,2014/01/02,$220,220.0,0,large microfiber couch sofa,furniture - by owner,boston.craigslist.org/nos/fuo/4255104325.html
Dec 26,2014/01/02,$200,200.0,0,"couch , coffee table and 2 end tables for sale",furniture - by owner,boston.craigslist.org/gbs/fuo/4259668208.html
Dec 26,2014/01/02,$1,1.0,0,"Wooden Table, Chairs, Couch, armchair, LV damier Canvas Imitation",furniture - by owner,boston.craigslist.org/gbs/fuo/4259784881.html
Dec 30,2014/01/02,$650,650.0,0,Vintage Couch,antiques - by owner,boston.craigslist.org/gbs/atq/4265095862.html
Dec 29,2014/01/02,$70,70.0,0,Standers Couch Cane,health and beauty - by owner,boston.craigslist.org/bmw/hab/4255141481.html
Dec 31,2014/01/02,$65,65.0,0,Solid wood couch with red cushions ,furniture - by dealer,boston.craigslist.org/gbs/fud/4259706675.html
Dec 27,2014/01/02,$1,1.0,0,Sleeper Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4260787103.html
Dec 31,2014/01/02,$2400,2400.0,0,Round Outdoor Furniture Set - Resin Wicker Sectional Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4266709009.html
Dec 27,2014/01/02,$150,150.0,0,Red leather couch and chair,furniture - by owner,boston.craigslist.org/gbs/fuo/4261186216.html
Jan  1,2014/01/02,$1300,1300.0,0,"Rattan Sectional Couch, Chair/Ottoman, Table Set - Jordan's",furniture - by owner,boston.craigslist.org/sob/fuo/4264894973.html
Dec 29,2014/01/02,$400,400.0,0,Pull out Couch with Storage!,furniture - by owner,boston.craigslist.org/gbs/fuo/4263704351.html
Dec 26,2014/01/02,$1000,1000.0,0,Pottery Barn couch- new!,furniture - by owner,boston.craigslist.org/gbs/fuo/4259546732.html
Dec 29,2014/01/02,$170,170.0,0,Pottery Barn Couch and Armchair!,furniture - by owner,boston.craigslist.org/gbs/fuo/4263189922.html
Dec 30,2014/01/02,$200,200.0,0,Outdoor couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4264905289.html
Dec 31,2014/01/02,$250,250.0,0,Nice couch and love seat set for sale,furniture - by owner,boston.craigslist.org/gbs/fuo/4266710793.html
Jan  2,2014/01/02,$150,150.0,0,Neutral Colored Couch - Seats 3,furniture - by owner,boston.craigslist.org/nos/fuo/4259300015.html
Dec 29,2014/01/02,$3500,3500.0,0,Modern Roche Bobois Couch-Chairs,furniture - by owner,boston.craigslist.org/gbs/fuo/4224139355.html
Dec 28,2014/01/02,$199,199.0,0,Mid-Century Modern Couch Designer Eames Retro Office Furniture,antiques - by owner,boston.craigslist.org/gbs/atq/4262649177.html
Jan  1,2014/01/02,$1000,1000.0,0,Matching Couch and Loveseat in Perfect Condition,furniture - by owner,boston.craigslist.org/gbs/fuo/4268122084.html
Dec 26,2014/01/02,$850,850.0,0,Massive couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4259599742.html
