date,price,title,type,url,date_ran,query_id
Dec 29,$250,Brown Leather Couch ,furniture - by owner,boston.craigslist.org/sob/fuo/4264290598.html,2014/01/02,0
Jan  1,$1300,"Rattan Sectional Couch, Chair/Ottoman, Table Set - Jordan's",furniture - by owner,boston.craigslist.org/sob/fuo/4264894973.html,2014/01/02,0
Dec 26,$250,Brown Leather Couch (IKEA),furniture - by owner,boston.craigslist.org/gbs/fuo/4259041301.html,2014/01/02,0
Dec 31,$65,Solid wood couch with red cushions ,furniture - by dealer,boston.craigslist.org/gbs/fud/4259706675.html,2014/01/02,0
Dec 26,$1,"Wooden Table, Chairs, Couch, armchair, LV damier Canvas Imitation",furniture - by owner,boston.craigslist.org/gbs/fuo/4259784881.html,2014/01/02,0
Dec 30,$400,Crate & Barrel Couch (brown Axis),furniture - by owner,boston.craigslist.org/gbs/fuo/4265846364.html,2014/01/02,0
Dec 31,$1500,"Gorgeous, comfy L-couch - Pristine Condition",furniture - by owner,boston.craigslist.org/bmw/fuo/4266364457.html,2014/01/02,0
Dec 31,$95,Baby Blue Microfiber Lg 3 Cushion Couch,furniture - by owner,boston.craigslist.org/nos/fuo/4266601015.html,2014/01/02,0
Jan  2,$150,Brown wall couch perfect for space saving city apartments,furniture - by owner,boston.craigslist.org/bmw/fuo/4269723164.html,2014/01/02,0
Dec 26,$700,Gorgeous Velvet Upholstery Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4215731795.html,2014/01/02,0
Dec 29,$3500,Modern Roche Bobois Couch-Chairs,furniture - by owner,boston.craigslist.org/gbs/fuo/4224139355.html,2014/01/02,0
Dec 31,$200,Ethan Allen couch table,furniture - by owner,boston.craigslist.org/gbs/fuo/4252348049.html,2014/01/02,0
Jan  1,$1100,LA-Z-BOY Reclining Couch & Love Seat Set,furniture - by owner,boston.craigslist.org/sob/fuo/4254264207.html,2014/01/02,0
Dec 26,$40,Couch for Sale $40 OBO,furniture - by owner,boston.craigslist.org/gbs/fuo/4259213372.html,2014/01/02,0
Dec 26,$900,Brand New Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4259287239.html,2014/01/02,0
Dec 26,$475,Full Leather couch set - great condition! ,furniture - by owner,boston.craigslist.org/gbs/fuo/4259492303.html,2014/01/02,0
Dec 26,$300,Brown Leather Couch- excellent condition,furniture - by owner,boston.craigslist.org/gbs/fuo/4260064465.html,2014/01/02,0
Dec 27,$1,Sleeper Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4260787103.html,2014/01/02,0
Dec 27,$150,Red leather couch and chair,furniture - by owner,boston.craigslist.org/gbs/fuo/4261186216.html,2014/01/02,0
Dec 29,$400,Pull out Couch with Storage!,furniture - by owner,boston.craigslist.org/gbs/fuo/4263704351.html,2014/01/02,0
Dec 30,$400,Boston Interiors Couch / Chair / Tables,furniture - by owner,boston.craigslist.org/sob/fuo/4264722024.html,2014/01/02,0
Jan  1,$850,"Leather Couch, Chair/Ottoman - Jordan's",furniture - by owner,boston.craigslist.org/sob/fuo/4264945129.html,2014/01/02,0
